Path,Label
images/Tuberculosis-73.png,Tuberculosis
images/Tuberculosis-668.png,Tuberculosis
images/Tuberculosis-49.png,Tuberculosis
images/Tuberculosis-555.png,Tuberculosis
images/Tuberculosis-167.png,Tuberculosis
images/Tuberculosis-30.png,Tuberculosis
images/Tuberculosis-282.png,Tuberculosis
images/Tuberculosis-91.png,Tuberculosis
images/Tuberculosis-245.png,Tuberculosis
images/Tuberculosis-416.png,Tuberculosis
images/Tuberculosis-600.png,Tuberculosis
images/Tuberculosis-371.png,Tuberculosis
images/Tuberculosis-331.png,Tuberculosis
images/Tuberculosis-254.png,Tuberculosis
images/Tuberculosis-533.png,Tuberculosis
images/Tuberculosis-644.png,Tuberculosis
images/Tuberculosis-456.png,Tuberculosis
images/Tuberculosis-610.png,Tuberculosis
