Path,Label
images/Tuberculosis-612.png,Tuberculosis
images/Tuberculosis-54.png,Tuberculosis
images/Tuberculosis-91.png,Tuberculosis
images/Tuberculosis-130.png,Tuberculosis
images/Tuberculosis-598.png,Tuberculosis
images/Tuberculosis-699.png,Tuberculosis
images/Tuberculosis-651.png,Tuberculosis
images/Tuberculosis-647.png,Tuberculosis
images/Tuberculosis-698.png,Tuberculosis
images/internet.png,Tuberculosis
images/internet2.png,Tuberculosis
images/internet3.png,Tuberculosis
images/internet4.png,Tuberculosis
